Id,SalePrice
1461,122173.31310420745
1462,140561.53868317674
1463,201783.75489581274
1464,199183.0972205061
1465,192133.73910587368
1466,204488.43887813162
1467,155804.12719639175
1468,184723.44054580134
1469,168465.0197246652
1470,120716.94480603575
1471,198063.23860557278
1472,131639.70704232354
1473,115907.30392127001
1474,183787.20378269095
1475,115931.73468347159
1476,275122.3013394593
1477,192941.51879977025
1478,208961.570079659
1479,221860.8321491798
1480,312779.8244778991
1481,266384.0915504291
1482,201496.1067369775
1483,170055.731257072
1484,178090.18765921795
1485,175257.04660768525
1486,212602.49082508826
1487,263134.8452708473
1488,224902.02581473705
1489,185684.10807111327
1490,211690.68482417945
1491,204904.54410618066
1492,134240.36471763015
1493,187740.203449157
1494,250027.530587302
1495,237128.26851778114
1496,213771.21096442474
1497,233744.26191077955
1498,183811.6345448925
1499,183811.6345448925
1500,187556.58159733404
1501,216267.8423327191
1502,171328.47770342077
1503,203130.21072195092
1504,224565.5161314987
1505,187532.1508351325
1506,195933.85094092434
1507,265215.37141109264
1508,259052.9714419827
1509,146778.68634171106
1510,130470.98690298706
1511,128078.38184170498
1512,189404.62436135323
1513,216971.59571960339
1514,132116.863218003
1515,288333.64233001694
1516,194189.83448391742
1517,146307.41633105287
1518,172527.93186316482
1519,186283.8351509853
1520,121212.6455788955
1521,127766.30292066818
1522,166672.14174325514
1523,141393.74913927488
1524,139649.73268226793
1525,103424.14707979826
1526,131743.73334933582
1527,131431.65442829902
1528,129638.77644688895
1529,124541.48740328797
1530,174082.44030332752
1531,194135.08679449305
1532,126334.36538469803
1533,142434.0122093975
1534,132447.48673622007
1535,172185.5360149052
1536,131823.32889414649
1537,115515.62945542252
1538,195230.09755404005
1539,298270.8891856065
1540,240353.0840351614
1541,181884.41332924739
1542,170000.98356764764
1543,217436.9795652403
1544,108545.86688560079
1545,146723.5215591019
1546,126726.03985054554
1547,153460.80075269757
1548,149611.8273932438
1549,137153.10131397357
1550,165454.14298633084
1551,140065.83791031697
1552,179755.02566459894
1553,164591.61560300988
1554,140041.4071481154
1555,206568.9650183769
1556,129638.77644688895
1557,147115.19602494943
1558,97910.75280814823
1559,171640.9737176423
1560,233744.26191077955
1561,196245.92986196114
1562,95102.04251881708
